Bid Price 1,Bid Size 1,Ask Price 1,Ask Size 1,midprice,spread,log_return,RV_5min,RSI_5min,OSI_10s,Bid Price 2,Bid Size 2,Ask Price 2,Ask Size 2,Bid Price 3,Bid Size 3,Ask Price 3,Ask Size 3,Bid Price 4,Bid Size 4,Ask Price 4,Ask Size 4,Bid Price 5,Bid Size 5,Ask Price 5,Ask Size 5
39800.49671415301,3.1952975121166727,40200.49671415301,1.7655421331740695,40000.49671415301,400.0,-3.4565705800300943e-06,2.462595688630441e-05,49.535816487006805,0.28820834398464196,39595.49671415301,6.8921520461954815,40405.49671415301,3.512264096024223,39390.49671415301,2.3042661132592523,40610.49671415301,8.528634332331972,39185.49671415301,8.718930028076848,40815.49671415301,5.173437294525931,38980.49671415301,2.551613720264622,41020.49671415301,9.18372900643876
39800.35844985184,1.8645076792246764,40200.35844985184,1.9803539622440984,40000.35844985184,400.0,-3.4565705800300943e-06,2.462595688630441e-05,49.535816487006805,-0.030130156510695037,39595.35844985184,0.3209964416874044,40405.35844985184,3.564292484336936,39390.35844985184,4.75851074608241,40610.35844985184,2.4308557992881945,39185.35844985184,1.5478805601433767,40815.35844985184,3.832799881204063,38980.35844985184,9.957066697743588,41020.35844985184,8.83855989168935
39801.00613838994,8.605903774169974,40201.00613838994,4.661050496347927,40001.00613838994,400.0,1.6191937261115874e-05,2.462595688630441e-05,49.535816487006805,0.2973443035518998,39596.00613838994,0.6349919642442332,40406.00613838994,5.475823849142021,39391.00613838994,9.234197789690889,40611.00613838994,6.036447919080135,39186.00613838994,8.427626902222181,40816.00613838994,2.6876867839497187,38981.00613838994,1.8438794655879416,41021.00613838994,1.7438675643292454
39802.52916824635,4.094875388421571,40202.52916824635,2.9341706349082157,40002.52916824635,400.0,3.8074063871292954e-05,2.462595688630441e-05,49.535816487006805,0.1651297700514285,39597.52916824635,5.373509493253374,40407.52916824635,3.8966686230474807,39392.52916824635,3.0439955915377848,40612.52916824635,8.57322496368311,39187.52916824635,2.845049501929869,40817.52916824635,6.382620353163617,38982.52916824635,0.3044533147838835,41022.52916824635,1.816481263646841
39802.295014871626,4.045582772217287,40202.295014871626,2.5498835142081493,40002.295014871626,400.0,-5.853481389776321e-06,2.462595688630441e-05,49.535816487006805,0.2267768787003786,39597.295014871626,1.991251229824761,40407.295014871626,0.1141147100465729,39392.295014871626,9.06522715962894,40612.295014871626,4.146386689935021,39187.295014871626,9.60029013388651,40817.295014871626,3.70625928748844,38982.295014871626,8.967366773098405,41022.295014871626,4.826310108556798
39802.06087791468,1.7818780805855383,40202.06087791468,6.487852681077984,40002.06087791468,400.0,-5.853105230025001e-06,2.462595688630441e-05,49.535816487006805,-0.569060195080136,39597.06087791468,6.362084311163953,40407.06087791468,7.344543048361174,39392.06087791468,0.631167756524296,40612.06087791468,9.328154491344533,39187.06087791468,6.985417833916308,40817.06087791468,4.082283794337041,38982.06087791468,5.842170793217144,41022.06087791468,5.3059860743963405
39803.64009073019,3.892350193249209,40203.64009073019,6.544620277663591,40003.64009073019,400.0,3.94775071424656e-05,2.462595688630441e-05,49.535816487006805,-0.2541226011711058,39598.64009073019,5.566638817789416,40408.64009073019,7.541998710636985,39393.64009073019,0.9268846796776736,40613.64009073019,9.039487438382574,39188.64009073019,4.051194953758619,40818.64009073019,0.3281514785510386,38983.64009073019,3.5789589998428744,41023.64009073019,3.4771842839586764
39804.40752545933,8.729006778655616,40204.40752545933,8.2627189910193,40004.40752545933,400.0,1.918393841703719e-05,2.462595688630441e-05,49.535816487006805,0.027442049969315006,39599.40752545933,5.899027547871823,40409.40752545933,7.495048586399028,39394.40752545933,7.015754148838945,40614.40752545933,2.160525584446213,39189.40752545933,2.881635966090846,40819.40752545933,5.93180219267527,38984.40752545933,5.182062658324806,41024.40752545933,3.1979177004023107
39803.938051073404,3.694974233847396,40203.938051073404,4.235314813032461,40003.938051073404,400.0,-1.173563539030352e-05,2.462595688630441e-05,49.535816487006805,-0.06813630322814776,39598.938051073404,3.094308260327006,40408.938051073404,3.51570459944362,39393.938051073404,1.986867348336938,40613.938051073404,2.6637518457120177,39188.938051073404,2.428851521997009,40818.938051073404,1.3085031954857236,38983.938051073404,2.6811968535835438,41023.938051073404,4.370536169035301
39804.48061111699,9.520875268747902,40204.48061111699,0.8235424011588873,40004.48061111699,400.0,1.3562573855628201e-05,2.462595688630441e-05,49.535816487006805,0.8407754931329435,39599.48061111699,6.434450712151177,40409.48061111699,5.270665785780602,39394.48061111699,3.234544763646592,40614.48061111699,1.886375786595092,39189.48061111699,6.839844037295893,40819.48061111699,2.216668103064676,38984.48061111699,6.384112617788081,41024.48061111699,6.935744885852089
